tweet_id,author_id,text,in_response_to_tweet_id,created_at
1000,cust_0,"Please add a way to sort playlists alphabetically, it would help so much Thanks.",,
1001,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1000,
1002,cust_1,Why was I charged twice this month for Premium?? Please help!,,
1003,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1002,
1004,cust_2,"Please add a way to sort playlists alphabetically, it would help so much",,
1005,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1004,
1006,cust_3,My Spotify won't connect to my Bluetooth speaker anymore ,,
1007,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1006,
1008,cust_4,"I can't log into my account, it keeps saying wrong password even after reset This is so frustrating.",,
1009,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1008,
1010,cust_5,Why was I charged twice this month for Premium??,,
1011,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1010,
1012,cust_6,"I can't log into my account, it keeps saying wrong password even after reset",,
1013,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1012,
1014,cust_7,"Please add a way to sort playlists alphabetically, it would help so much",,
1015,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1014,
1016,cust_8,My Spotify won't connect to my Bluetooth speaker anymore ,,
1017,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1016,
1018,cust_9,My Spotify won't connect to my Bluetooth speaker anymore Please help!,,
1019,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1018,
1020,cust_10,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1021,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1020,
1022,cust_11,"Please add a way to sort playlists alphabetically, it would help so much Thanks.",,
1023,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1022,
1024,cust_12,Why was I charged twice this month for Premium?? Thanks.,,
1025,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1024,
1026,cust_13,"I can't log into my account, it keeps saying wrong password even after reset Please help!",,
1027,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1026,
1028,cust_14,The app keeps crashing every time I try to play a podcast,,
1029,SpotifyCares,"Sorry to hear that! Please try updating to the latest app version and restarting your device, let us know if it persists.",1028,
1030,cust_15,My Spotify won't connect to my Bluetooth speaker anymore Please help!,,
1031,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1030,
1032,cust_16,"Please add a way to sort playlists alphabetically, it would help so much Please help!",,
1033,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1032,
1034,cust_17,"How do I cancel my subscription, I don't want to be charged again Thanks.",,
1035,SpotifyCares,You can cancel anytime from Account > Subscription > Cancel Premium. You'll keep access until the billing period ends.,1034,
1036,cust_18,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1037,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1036,
1038,cust_19,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer This is so frustrating.",,
1039,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1038,
1040,cust_20,"Please add a way to sort playlists alphabetically, it would help so much This is so frustrating.",,
1041,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1040,
1042,cust_21,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer Please help!",,
1043,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1042,
1044,cust_22,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer Please help!",,
1045,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1044,
1046,cust_23,"How do I cancel my subscription, I don't want to be charged again Thanks.",,
1047,SpotifyCares,You can cancel anytime from Account > Subscription > Cancel Premium. You'll keep access until the billing period ends.,1046,
1048,cust_24,Why was I charged twice this month for Premium?? This is so frustrating.,,
1049,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1048,
1050,cust_25,"Please add a way to sort playlists alphabetically, it would help so much Please help!",,
1051,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1050,
1052,cust_26,My Spotify won't connect to my Bluetooth speaker anymore,,
1053,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1052,
1054,cust_27,My Spotify won't connect to my Bluetooth speaker anymore,,
1055,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1054,
1056,cust_28,Why was I charged twice this month for Premium?? Thanks.,,
1057,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1056,
1058,cust_29,"Please add a way to sort playlists alphabetically, it would help so much",,
1059,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1058,
1060,cust_30,Why was I charged twice this month for Premium??,,
1061,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1060,
1062,cust_31,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1063,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1062,
1064,cust_32,"I can't log into my account, it keeps saying wrong password even after reset Please help!",,
1065,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1064,
1066,cust_33,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer Thanks.",,
1067,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1066,
1068,cust_34,"I can't log into my account, it keeps saying wrong password even after reset Thanks.",,
1069,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1068,
1070,cust_35,Why was I charged twice this month for Premium??,,
1071,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1070,
1072,cust_36,"How do I cancel my subscription, I don't want to be charged again",,
1073,SpotifyCares,You can cancel anytime from Account > Subscription > Cancel Premium. You'll keep access until the billing period ends.,1072,
1074,cust_37,"Please add a way to sort playlists alphabetically, it would help so much Thanks.",,
1075,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1074,
1076,cust_38,Why was I charged twice this month for Premium?? Thanks.,,
1077,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1076,
1078,cust_39,"Please add a way to sort playlists alphabetically, it would help so much",,
1079,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1078,
1080,cust_40,My Spotify won't connect to my Bluetooth speaker anymore This is so frustrating.,,
1081,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1080,
1082,cust_41,Why was I charged twice this month for Premium??,,
1083,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1082,
1084,cust_42,"I can't log into my account, it keeps saying wrong password even after reset",,
1085,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1084,
1086,cust_43,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer This is so frustrating.",,
1087,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1086,
1088,cust_44,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1089,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1088,
1090,cust_45,My Spotify won't connect to my Bluetooth speaker anymore ,,
1091,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1090,
1092,cust_46,My Spotify won't connect to my Bluetooth speaker anymore,,
1093,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1092,
1094,cust_47,My Spotify won't connect to my Bluetooth speaker anymore Please help!,,
1095,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1094,
1096,cust_48,"Please add a way to sort playlists alphabetically, it would help so much",,
1097,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1096,
1098,cust_49,"Please add a way to sort playlists alphabetically, it would help so much",,
1099,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1098,
1100,cust_50,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer Thanks.",,
1101,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1100,
1102,cust_51,"I can't log into my account, it keeps saying wrong password even after reset This is so frustrating.",,
1103,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1102,
1104,cust_52,"How do I cancel my subscription, I don't want to be charged again Thanks.",,
1105,SpotifyCares,You can cancel anytime from Account > Subscription > Cancel Premium. You'll keep access until the billing period ends.,1104,
